"CODIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECION";"CP";"POBLACION";"PROVINCIA";"PAIS";"CERCANIAS";"FEVE";"COMUN"
"60406";"SOCUÉLLAMOS";"39.2787760";"-2.7755710";"C/ Estación Ferrocarril, S/N";"13630";"SOCUÉLLAMOS";"CIUDAD REAL";"ESPAÑA";"NO";"NO";""
"60500";"VILLARROBLEDO";"39.2608680";"-2.5986210";"C/ Juan Ferreira, S/N";"02600";"VILLARROBLEDO";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60503";"MINAYA";"39.2407380";"-2.3484030";"C/ Estación Ferrocarril, S/N";"02620";"MINAYA";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60505";"LA RODA DE ALBACETE";"39.1995940";"-2.1625470";"Pla. Estación Ferracarril, S/N";"02630";"RODA (LA)";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60507";"LA GINETA";"39.1116650";"-2.0001550";"C/ Santa Ana, S/N";"02110";"GINETA (LA)";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60600";"ALBACETE-LOS LLANOS";"38.9993840";"-1.8484500";"C/ Federico García Lorca, 1";"02001";"ALBACETE";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60800";"ALMANSA";"38.8678220";"-1.1054460";"Pla. Primero de Mayo, 1";"02640";"ALMANSA";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60900";"LA ENCINA";"38.7653440";"-0.9542440";"Avda. Constitucion, 1";"03408";"VILLENA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"60901";"CAUDETE";"38.7161630";"-0.9597270";"Ctra. Cv - 656 --- Estación Ferrocarril, S/N";"02660";"CAUDETE";"ALBACETE";"ESPAÑA";"NO";"NO";""
"60902";"VILLENA";"38.6317380";"-0.8676890";"Ronda de la Estación, S/N";"03400";"VILLENA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"60904";"SAX";"38.5442510";"-0.8137290";"Luis Barcelo Santoja, 25";"03630";"SAX";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"60905";"ELDA-PETRER";"38.4848790";"-0.8010900";"C/ Galicia, S/N";"03600";"ELDA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
